dut_data:78, torch_data:77, c:15, w:0, h:0, i+1:16, err:1.0 
dut_data:82, torch_data:81, c:3, w:1, h:0, i+1:20, err:1.0 
dut_data:82, torch_data:81, c:5, w:1, h:0, i+1:22, err:1.0 
dut_data:78, torch_data:77, c:10, w:4, h:0, i+1:75, err:1.0 
dut_data:80, torch_data:79, c:10, w:20, h:0, i+1:331, err:1.0 
dut_data:79, torch_data:78, c:15, w:20, h:0, i+1:336, err:1.0 
dut_data:89, torch_data:88, c:15, w:21, h:0, i+1:352, err:1.0 
dut_data:78, torch_data:77, c:10, w:23, h:0, i+1:379, err:1.0 
dut_data:86, torch_data:85, c:13, w:24, h:0, i+1:398, err:1.0 
dut_data:83, torch_data:82, c:4, w:26, h:0, i+1:421, err:1.0 
dut_data:80, torch_data:79, c:5, w:27, h:0, i+1:438, err:1.0 
dut_data:77, torch_data:76, c:7, w:27, h:0, i+1:440, err:1.0 
dut_data:78, torch_data:77, c:11, w:27, h:0, i+1:444, err:1.0 
dut_data:85, torch_data:84, c:9, w:28, h:0, i+1:458, err:1.0 
dut_data:96, torch_data:95, c:6, w:29, h:0, i+1:471, err:1.0 
dut_data:79, torch_data:78, c:5, w:32, h:0, i+1:518, err:1.0 
dut_data:85, torch_data:84, c:7, w:34, h:0, i+1:552, err:1.0 
dut_data:80, torch_data:79, c:5, w:37, h:0, i+1:598, err:1.0 
dut_data:78, torch_data:77, c:10, w:37, h:0, i+1:603, err:1.0 
dut_data:85, torch_data:84, c:14, w:42, h:0, i+1:687, err:1.0 
dut_data:78, torch_data:77, c:7, w:43, h:0, i+1:696, err:1.0 
dut_data:86, torch_data:85, c:0, w:51, h:0, i+1:817, err:1.0 
dut_data:82, torch_data:81, c:1, w:52, h:0, i+1:834, err:1.0 
dut_data:90, torch_data:89, c:3, w:52, h:0, i+1:836, err:1.0 
dut_data:78, torch_data:77, c:4, w:55, h:0, i+1:885, err:1.0 
dut_data:84, torch_data:83, c:13, w:72, h:0, i+1:1166, err:1.0 
dut_data:88, torch_data:87, c:3, w:74, h:0, i+1:1188, err:1.0 
dut_data:87, torch_data:86, c:14, w:74, h:0, i+1:1199, err:1.0 
dut_data:84, torch_data:83, c:4, w:78, h:0, i+1:1253, err:1.0 
dut_data:81, torch_data:80, c:5, w:78, h:0, i+1:1254, err:1.0 
dut_data:84, torch_data:83, c:8, w:80, h:0, i+1:1289, err:1.0 
